"Tabla","Filas","Columnas","ClavePrimaria"
"PosicionVentana","5","4","id"
"VTextos","5","10","TipoDoc|nDoc"
"AgClasificacionComercial","4","10","Codigo"
"Tarifas","4","5","Codigo"
"ArticulosCliDtoConfig","4","3","TipoDescuento"
"gaNotCliPlantillas","4","7","Codigo|Idioma"
"GastosGen","4","5","id"
"ProveedoresDtoFam","3","4","Proveedor|Familia"
"SeriesDocumento","3","5","Codigo"
"UTTrelojMotivosAusencia","3","1","MotivoAusencia"
"FamiliasTarifas","2","17","Familia|Subfamilia|Acabado|Tarifa"
"ImpexDatos","2","26",""
"UTTrelojConceptos","2","3","Codigo"
"gaRptModUsr","2","4","IdInforme|NombreRpt|Usuario"
"PaisesTipos","2","2","TipoPais"
"gaRptInf","2","6","IdInforme|Usuario"
"ArticulosPrecioTablaConfiguracion","2","7","Articulo"
"ArticulosStock","2","56","Articulo|Ancho|Largo|Acabado|AcaTonalidad|Proveedor|Almacen|NumeroLote"
"FormasPago","2","22","Codigo"
"TrabajadoresTiposVacaciones","2","1","Tipo"
"EstructurasCliDtoConfig","2","3","TipoDescuento"
"ContaConfig","1","59",""
"VAlbaranes","1","196","Id"
"VAlbaranesLin","1","136","nLinea"
"TextosPresupuestos","1","3","Codigo"
"TarDinArticuloTamaños","1","2","TamañoArticulo"
"gaBusqRapidaConf","1","16",""
"ConstantesInterfaz","1","3",""
"Paises","1","16","Codigo"
"DiseñoConfig","1","247",""
"EURO","1","6",""
"gaSemaforo","1","2","nombreSem"
"Constantes","1","150","nLinea"
"NovedadesVersionControlUsr","1","2","ComputerName|UsuarioSistema"
"CobTiposRemesa","1","13","Codigo"
"UMecMaquinas","1","5","Codigo"
"Idiomas","1","6","Codigo"
"Delegaciones","1","47","Codigo"
"TarifasTransformacion","1","2","Codigo"
"UMecConfig","1","93",""
"Usuarios","1","26","Nombre"
"MOFasesEstadosFabricacion","1","2","NumeroEstado"
"TarifasDatos","1","92","Proveedor"
"Divisas","1","18","Codigo"
"RegistrosDesactivados","1","6","nLinea"
"gaEtiquetas","1","11","Codigo"
"LineasNegocio","1","2","Codigo"
"ActDatosConfig","1","4",""
"ArticulosTipos","1","12","Codigo"
"ArticulosTCbruto","1","15","Tarifa"
"ActInternet","1","7",""
"Almacenes","1","7","Codigo"
"ArticulosEstados","1","2","Estado"
"Cajas","1","11","Descripcion"
"AgTiposEntradas","1","4","Nombre"
"SeriesNSerieAut","0","2","id"
"VPedidosLinImpuestos","0","10","nVLinea|CodigoImpuesto"
"VPedidosLin","0","160","nLinea"
"VPedidosIVAResumen","0","11","nDoc|TipoIVA"
"SeriesNumeracionLotes","0","8","nLinea"
"SeriesAsocV2Filtros","0","22","nLinea"
"VPlanProdRecursosDispPedidosAsignados","0","5","nLinea"
"SeriesAsocV2FiltrosMedidas","0","8","nLinea"
"VPedTrabajadoresFabricacion","0","3","nDoc|Trabajador"
"VPlanProdRecursosDisp","0","5","Fecha|Seccion"
"siiTiposDocumentoConfig","0","11","nLinea"
"siiTiposDocumento","0","16","Codigo"
"VPedidos","0","247","Id"
"SincronizaEmpresa","0","25","Codigo"
"siiVCobrosMetalico","0","11","Cliente|Delegacion|Ejercicio"
"VPedidosAsegSeguimiento","0","6","nLinea"
"ProveedoresObservaciones","0","7","nLinea"
"SeriesTablasHerraje","0","4","Codigo"
"siiRegistroEnvios","0","14","nLinea"
"SeriesTablasHerrajeLin","0","15","nLinea"
"SeriesAsocV2Articulos","0","15","nLinea"
"RCSBRemesasLin","0","33","nLin"
"RCSBRemesas","0","14","Numero"
"RCSBRemesasPag","0","12","Numero"
"RCSBRemesasPagLin","0","33","nLin"
"VPresupuestosDtos","0","7","nLin"
"ProveedoresPrecioTransfArtAcaTon","0","10","Proveedor|TarifaTransformacion|Articulo|Acabado|Tonalidad"
"ProveedoresPrecioTransfAcaTon","0","9","TarifaTransformacion|Proveedor|Acabado|Tonalidad"
"ProveedoresTipoIVA","0","3","Proveedor|Serie"
"RCSBConfig","0","8",""
"VPresupuestosCap","0","4","nLin"
