"Tabla","Filas","Columnas","ClavePrimaria"
"UCentroHerrOperaciones","0","16","nLin"
"UCElaboratorios","0","9","Codigo"
"UMecCodOp","0","54","nLin"
"UEtiqUdTMP","0","4","nLinea"
"UMecCodOpAcabadosAplicable","0","3","nLin"
"UMecCodOpArticulosAplicable","0","3","nLin"
"UMecCodOpAD","0","15","nLin"
"UCTEtablaD1","0","9","Codigo"
"UCorteSecciones","0","3","Codigo"
"UCorteMultRPTart","0","6","id"
"UCTEtabla21","0","3","ZonaClimatica"
"UCTEtabla22UMm","0","13","ZonaClimatica|porcHdesde|porcHhasta"
"UCTEtabla22","0","13","ZonaClimatica|porcHdesde|porcHhasta"
"CDireccionesEntregaConfig","0","5","Serie|Delegacion|TipoDocumento"
"CDireccionesEntrega","0","9","IdDireccion"
"CCuentasContables","0","6","nLinea"
"CESSeriePerfilesAcabadosValidos","0","4","CodigoSerie|CodigoEstructura|Acabado|TipoAcabado"
"CESSeriePerfiles","0","6","CodigoSerie"
"CDocumentosLinEtiq","0","6","nLinea"
"CAutorizaCondicional","0","12","nLinea"
"CatGruposCliEstructurasPermitidas","0","4","GrupoClientes|CodigoEstructura"
"CatGruposClientes","0","6","Codigo"
"CatGruposCliDescripcionVidrios","0","4","GrupoClientes|ArticuloVidrio"
"CatGruposCliSubfamiliasArtPermitidas","0","5","GrupoClientes|Familia|Subfamilia"
"CatGruposCliSubcategoriasPermitidas","0","4","GrupoClientes|IdSubcategoria"
"CatGruposCliSeriesPermitidas","0","6","GrupoClientes|CodigoSerie"
"CGastos","0","75","Acreedor|Numero"
"CFormatoChequeCampos","0","15","nLinea"
"CFormatoCheque","0","13","Codigo"
"CGastosRepLineaAlbaran","0","8","Acreedor|NumeroGasto|nLineaAlbaran"
"CGastosRepAlbaranes","0","4","Acreedor|NumeroGasto|Proveedor|NumeroAlbaran"
"CGastosLin","0","13","nLinea"
"CFacturasLinImpuestos","0","10","nCLinea|CodigoImpuesto"
"CESVidrios","0","4","Articulo"
"CESSeriePerfilesVidrios","0","2","CodigoSerie|CodigoVidrio"
"CESSeriePerfilesComplementos","0","4","CodigoSerie|CodigoEstructura"
"CFacturasLin","0","39","nLinea"
"CFacturasIVAResumen","0","10","Proveedor|Numero|TipoIVA"
"CFacturas","0","94","Proveedor|Numero"
"CategoriasGastos","0","2","Codigo"
"CabecerasDocumentosTransformados","0","4","TipoDoc|Idioma"
"Boletines","0","47","Numero"
"AsegPeritos","0","14","Codigo"
"CajasMovimientos","0","29","Contador"
"CajasArqueosMovimientos","0","9","nLinea"
"CajasArqueos","0","11","Id"
"AsegGestoras","0","14","Codigo"
"AsegCompañiasModalidades","0","2","Compañia|Modalidad"
"AsegCompañiasDelegaciones","0","12","Compañia|Codigo"
"AsegCompañias","0","14","Codigo"
"AsegCorreduriasCompañias","0","2","Correduria|Compañia"
"AsegCorredurias","0","14","Codigo"
"AsegCompañiasPeritos","0","2","Compañia|Perito"
"CarrosCorteHuecos","0","8","nLin"
"CarrosCorte","0","7","Codigo"
"CanalesVentas","0","2","Codigo"
"CategoriasBultosEstr","0","10","nLinea"
"CategoriasBultosArt","0","13","nLinea"
"CategoriasBultos","0","6","Codigo"
"CalculoEtiqCorte","0","4","Familia|Articulo"
"CAlbaranes","0","65","Proveedor|Numero"
"CajasTipoMovConceptos","0","3","TipoMov|Concepto"
"CajasTipoMov","0","1","Descripcion"
"CAlbaranesLinImpuestos","0","10","nCLinea|CodigoImpuesto"
"CAlbaranesLin","0","53","nLinea"
"CAlbaranesIVAResumen","0","10","Proveedor|Numero|TipoIVA"
"ClasificacionMultiNivel","0","4","Tabla|CadenaDeClasificacion"
"ClientesGrpDtoLin","0","22","nLinea"
"ClientesGrpDtoEstrMaximo","0","6","GrupoDto|Estructura|FamiliaEstr|Tarifa"
"ClientesGrpDtoArtMaximo","0","7","GrupoDto|Articulo|Familia|Subfamilia|Tarifa"
"ClientesGrpDtoLinCMNaca","0","22","nLinea"
"ClientesGrpDtoLinCMN","0","21","nLinea"
"ClientesGrpDtoLinArt","0","22","nLinea"
"ClientesGrpDto","0","2","Codigo"
"ClientesGrpAsigTar","0","7","Codigo"
"ClientesFormatoImpresion","0","4","Cliente|TipoDoc|Serie"
"ClientesFacEcentros","0","4","Cliente"
"ClientesGrpAsigTarLinEstrNoDis","0","8","nLinea"
"ClientesGrpAsigTarLinEstr","0","9","nLinea"
"ClientesGrpAsigTarLinArt","0","11","nLinea"
"ClientesMultMetMinFam","0","6","Cliente|Familia|Subfamilia"
"ClientesMultMetMinArt","0","5","Cliente|Articulo"
"ClientesIncrGuiaCompF","0","3","Cliente|FamiliaEstr"
"ClientesObservaciones","0","7","nLinea"
"ClientesNotifica","0","7","Cliente|TipoNotificacion|MetodoNotificacion|Serie"
"ClientesNoMultMetMinFam","0","4","Cliente|Familia"
"ClientesGruposCom","0","2","Codigo"
"ClientesGrpDtoLinFE","0","14","nLinea"
"ClientesGrpDtoLinEstrCMNaca","0","14","nLinea"
"ClientesGrpDtoLinEstrCMN","0","13","nLinea"
"ClientesGrpPEspLinAcaTon","0","6","GrupoPEsp|Articulo|Acabado|AcaTonalidad"
"ClientesGrpPEspLin","0","11","GrupoPEsp|Articulo|Acabado"
"ClientesGrpPEsp","0","2","Codigo"
"ClientesEstructurasOpciones","0","5","Cliente|Estructura|OPCnGrupo|OPCnOpcion"
"ClientesCLAS","0","4","Cliente|Articulo|Acabado"
"ClientesCLAFamilia","0","4","Cliente|Familia|Subfamilia"
"ClientesBloqueoEfectosPendientes","0","7","Cliente|Serie|TipoRemesa|Delegacion"
"ClientesContactos","0","7","Codigo|NumeroContacto"
"ClientesCompFsubfamTipoMotor","0","4","Cliente|TipoMotor"
"ClientesCompFSelDef","0","25","Cliente|EstructuraCF"
"ClientesAutorizaVDocAutorizadores","0","2","Cliente|gaNotUsuarioAut"
"ClientesAgendaDoc","0","3","IdAgendaDoc"
"ClientesAgenda","0","35","IdAgenda"
"ClientesAcabadosReferencia","0","4","Cliente|Acabado"
"ClientesAsignaSerieAuto","0","4","Cliente|Serie"
"ClientesArticulosReferencia","0","9","Cliente|Articulo|Acabado|AcaTonalidad|Ancho|Largo"
"ClientesAgendaMaterial","0","8","IdAgendaMaterial"
"ClientesDtoEstrCMNaca","0","16","nLinea"
"ClientesDtoEstrCMN","0","15","nLinea"
"ClientesDtoCMNaca","0","24","nLinea"
"ClientesDtoFamArt","0","24","nLinea"
"ClientesDtoFamAcaArt","0","23","nLinea"
"ClientesDtoFam","0","16","nLinea"
"ClientesDtoCMN","0","23","nLinea"
"ClientesDiasFacturacion","0","4","nLinea"
"ClientesCuentasBancarias","0","10","Cliente|Codigo"
"ClientesCosteCalculado","0","5","Cliente|TarifaCB"
"ClientesDtoArt","0","24","nLinea"
"ClientesDirecciones","0","18","Cliente|NumeroDireccion"
"ClientesDiasPago","0","4","nLinea"
"ArticulosVentaEspCliPotAcaTon","0","9","Articulo|Acabado|AcaTonalidad|Cliente"
"ArticulosABCstock","0","10","Codigo"
"ARegularizacionesLin","0","23","nLin"
"ARegularizaciones","0","17","Numero"
"ArticulosBloqueoPVP","0","2","Articulo|Acabado"
"ArticulosAcabadosValidos","0","3","Articulo|Acabado"
"ArticulosABCstockMinTipoArt","0","6","ABCstock|TipoArt|Acabado"
"ARecuentosLin","0","10","nLin"
"AMovAlmaLin","0","21","nLin"
"AMovAlma","0","17","Numero"
"AlmacenesConfig","0","8","TipoDoc|Serie|Delegacion|TipoDocumento"
"ARecuentos","0","9","Numero"
"APickingLin","0","12","nLin"
"APicking","0","13","Numero"
"ArticulosCosteAcaTon","0","17","Articulo|Proveedor|Acabado|Tonalidad"
"ArticulosCompFmotorMandos","0","4","nLinea"
"ArticulosCompFmotorLevanta","0","6","Articulo|AltoDesde|AltoHasta|DiametroEje"
"ArticulosCosteMed","0","6","Articulo|Acabado"
"ArticulosCosteGastosConfig","0","8","nLinea"
"ArticulosCosteGastosCategorias","0","2","Nombre"
"ArticulosCompFmotorEjeCondicional","0","8","nLinea"
"ArticulosCadenaClasificacionCond","0","11","nLinea"
"ArticulosCadenaClasificacion","0","3","Articulo|Tipo"
"ArticulosBloqueoSt","0","4","Articulo|Acabado|AcaTonalidad"
"ArticulosCodMecTronAca","0","8","Articulo|Acabado"
"ArticulosCLAGrpAsTar","0","4","Articulo|GrpAsTar"
"ArticulosCLAformulaOPCsel","0","3","Articulo|Estructura"
"AgZonasComercialesCP","0","6","nLinea"
"AcreedoresDelegaciones","0","3","nLinea"
"AcreedoresCuentaPagos","0","6","Acreedor|Serie|Delegacion|TipoDocumento"
"AcreedoresContactos","0","7","Codigo|NumeroContacto"
"AgAfinidadComercial","0","4","Codigo"
"AEnsamblajeLin","0","16","nLinea"
"AEnsamblaje","0","21","Numero"
"Acreedores","0","54","Codigo"
"AcabadosGruposFoliado","0","5","codigo"
"AcabadosDependientes","0","2","Acabado|AcabadoDependiente"
"AcabadosCodProv","0","5","Acabado|AcaTonalidad|Proveedor"
"ACompruStockLin","0","10","nLinea"
"ACompruStock","0","6","Numero"
"AcabadosGruposFolPrecioArticulo","0","4","GrupoFoliado|Articulo|Acabado"
"AgMaterialMarketing","0","3","Codigo"
"AgEstados","0","5","Codigo"
"AgendaUsuarios","0","1","Nombre"
"AgZonasComerciales","0","2","Codigo"
"AgTitulos","0","1","Titulo"
"AgSatisfaccion","0","1","Nombre"
"AgendaTareas","0","1","Nombre"
"AgCampañasDetalle","0","3","CodigoCampaña|Tipo_CLI_POT|CodigoClienteOPotencial"
"AgCampañas","0","4","Codigo"
"AgAvisos","0","28","Numero"
"Agenda","0","11","nLin"
"AgenciasTransporte","0","16","Codigo"
"AgDocumentos","0","2","Nombre"
"ArticulosCosteMedPeriodo","0","8","Articulo|Acabado|Almacen|Periodo"
"ArticulosStockRecalcularLotesAsig","0","2","NumeroLote"
"ArticulosStockRecalcular","0","6","Articulo|Acabado"
"ArticulosStockMinDinHst","0","18","Almacen|Articulo|Acabado|AcaTonalidad|Fecha"
"ArticulosTCbrutoAcabados","0","2","TCbruto|Acabado"
"ArticulosStockTRes","0","4","Articulo|Acabado|AcaTonalidad"
"ArticulosStockResTransfAuto","0","9","Articulo|Acabado|AcaTonalidad|Ancho|Largo|Almacen|TipoDoc|nDoc"
"ArticulosStockMin","0","21","Almacen|Articulo|Acabado|AcaTonalidad|Ancho|Largo"
"ArticulosStockLoteHistorialUbic","0","7","nLinea"
"ArticulosStockInvent","0","51","IdInventario|Articulo|Ancho|Largo|Acabado|AcaTonalidad|Proveedor|Almacen|NumeroLote"
"ArticulosStockIdInventario","0","6","IdInventario"
"ArticulosStockLotesUltimaInfo","0","13","Almacen|NumeroLote"
"ArticulosStockLotesEtiquetasTmp","0","2","NumeroLote|NumeroEtiqueta"
"ArticulosStockLotesAsignados","0","5","NumeroLote|TipoDocumento|NumeroDocumento"
"ArticulosVentaCompF","0","12","Articulo|Acabado|EstructuraCF|TipoCargoIncr"
"ArticulosVenta","0","10","Articulo|Acabado"
"ArticulosUnidadesEmb","0","7","Articulo|CodigoUnidadEmb"
"ArticulosVentaEspCliPot","0","14","Articulo|Acabado|Cliente"
"ArticulosVentaEspAcaTon","0","10","Articulo|Acabado|AcaTonalidad|Cliente"
"ArticulosVentaEsp","0","15","Articulo|Acabado|Cliente"
"ArticulosUbicStockPosicion","0","3","Ubicacion|Posicion"
"ArticulosTiposRPT","0","2","Codigo"
"ArticulosTiposCond","0","4","Articulo|Acabado"
"ArticulosTCbrutoHistorial","0","5","nLinea"
"ArticulosUbicStock","0","2","Codigo"
"ArticulosUbicAca","0","8","nLinea"
"ArticulosTTFabricacion","0","6","Articulo|Fase|Subfase"
"ArticulosRPTaca","0","6","nLinea"
"ArticulosES","0","47","nLinea"
"ArticulosEquivalentes","0","4","ArticuloPrincipal|ArticuloEquivalente"
"ArticulosDespunteAca","0","4","Articulo|Acabado"
"ArticulosInfoWebCond","0","8","nLinea"
"ArticulosIncrPrecioProveedor","0","7","nLin"
"ArticulosIncrPrecio","0","6","nLin"
"ArticulosDespAca","0","3","Articulo|Acabado|AcaTonalidad"
"ArticulosCosteTarAcaTon","0","13","Articulo|Proveedor|Tarifa|Acabado|Tonalidad"
"ArticulosCosteTar","0","12","Articulo|Proveedor|Tarifa|Acabado"
"ArticulosCosteMedPorAlmacen","0","7","Articulo|Acabado|Almacen"
"ArticulosDApvp","0","3","Articulo|Tarifa"
"ArticulosDAcoste","0","4","Articulo|Proveedor|Acabado"
"ArticulosDAcompMargenEspecial","0","3","Articulo|Tarifa"
"ArticulosProvHabPedRepo","0","6","Articulo|Acabado|Almacen|AcaTonalidad"
"ArticulosProvHabCompra","0","5","Articulo|Delegacion|Acabado|AcaTonalidad"
"ArticulosProvHab","0","4","Articulo|Acabado|AcaTonalidad"
"ArticulosReservaStock","0","9","nLinea"
"ArticulosRecEnC","0","6","Proveedor|Familia|Subfamilia|Medidas"
"ArticulosRecEn","0","4","Familia|Subfamilia|Medidas"
"ArticulosPesoProv","0","3","Articulo|Proveedor"
"ArticulosMM","0","5","Articulo|Proveedor"
"ArticulosMargenEspecial","0","4","Articulo|Tarifa"
"ArticulosInfoWebRelacionados","0","2","ArticuloPrincipal|ArticuloRelacionado"
"ArticulosPerimetroProv","0","3","Articulo|Proveedor"
"ArticulosPartidasArancelarias","0","3","Articulo|Pais"
"ArticulosMMaca","0","5","Articulo|Acabado"
"ClientesPot","0","88","Codigo"
"EstructurasCESaperturas","0","3","Estructura|NumeroOpcionApertura"
"EstructurasCES","0","13","IdCES"
"EstructurasCatSubEstrAdd","0","5","EstructuraOriginal|SubestructuraAñadir"
"EstructurasCESPuntos","0","6","IdPunto"
"EstructurasCESPuntoItems","0","7","IdItem"
"EstructurasCESHuecosVidrio","0","5","IdHuecoVidrio"
"EstructurasCatSubcategoriasLinEstr","0","3","IdSubcategoria|Estructura"
"EstructurasCatAca","0","9","Estructura|Categoria"
"EstructurasCadenaClasificacionCond","0","12","nLinea"
"EstructurasCadenaClasificacion","0","3","Estructura|Tipo"
"EstructurasCatSubcategoriasLinArt","0","3","IdSubcategoria|Articulo"
"EstructurasCatSubcategorias","0","4","IdSubcategoria"
"EstructurasCatCategorias","0","3","IdCategoria"
"EstructurasDisAcc","0","16","nLin"
"EstructurasDimMax","0","12","IdDimensionMax"
"EstructurasDibujos","0","5","IdDibujo"
"EstructurasInfoWebCond","0","12","nLinea"
"EstructurasExcelProduccion","0","6","nLinea"
"EstructurasDocumentosProdCond","0","10","nLinea"
"EstructurasDibujoCond","0","10","nLinea"
"EstructurasCFacc","0","5","nLinea"
"EstructurasCESPuntoV2Items","0","10","IdItem"
"EstructurasCESPuntosV2","0","4","IdPunto"
"EstructurasCompactosGuias","0","4","Estructura|Guia"
"EstructurasCFLamas","0","3","Estructura|nLama"
"EstructurasCFCajones","0","6","Estructura|nCajon"
"EstructurasArtSustAca","0","5","nLin_EA|AcabadoOrig|TonalidadOrig"
"EstrToldoDescuentos","0","20","nLinea"
"EstrToldoColocacionSoporte","0","6","nLinea"
"EstrToldoColocacionMaquina","0","7","nLinea"
"EstrToldoDimensionesMax","0","14","nLinea"
"EstrToldoDibujoCond","0","11","nLinea"
"EstrToldoDespieceCond","0","39","nLinea"
"EstrToldoBrazosCantidad","0","7","nLinea"
"EstrTldCmpSubestructuras","0","9","nLinea"
"Embalajes","0","6","Codigo"
"EFacCli","0","5","nLin"
"EstrToldoBrazos","0","8","nLinea"
"EstrToldoAsocAca","0","9","nLinea"
"EstrToldoAcabadoRibete","0","8","Estructura|Lona"
"EstructurasArtAd","0","8","nLin"
"EstructurasArtAcabadoAsoc","0","5","nLin_EA|AcabadoEstr|AcaTonalidadEstr"
"EstructurasAcabadosValCond","0","10","nLinea"
"EstructurasArtMedidasIntervalos","0","12","nLinea"
"EstructurasArtIntervalosMult","0","8","nLinea"
"EstructurasArtCantidadIntervalos","0","10","nLinea"
"EstructurasAcabadosVal","0","6","Estructura|Acabado"
"EstrToldoMotor","0","12","nLinea"
"EstrToldoLineaMinima","0","15","nLinea"
"EstrToldoFaldillas","0","7","nLinea"
"EstrToldoSubfamiliasMotor","0","5","Estructura|Familia|Subfamilia"
"EstrToldoPosicionAccionamiento","0","3","Estructura|PosicionAcc"
"EstrToldoPiezasValidas","0","15","nLinea"
"EstructurasLinAcabadoAsoc","0","5","IdLinea|AcabadoEstr|AcaTonalidadEstr"
"gaGrdVistaConfigCampo","0","19","IdVista|Campo"
"gaGrdVistaConfig","0","16","IdVista"
"gaGrdListaCond","0","11","id"
"gaNotCliVEfectos","0","4","nLinea"
"gaNotCliVariablesUsuario","0","2","Variable"
"gaGridDescConfigCamposCondicional","0","13","IdCond"
"gaFormElementoBloqueado","0","7","Tabla|Id1|Id2|IdUsuarioSesion"
"gaDocVinculadosRegistro","0","9","nLinea"
"gaDocVinculados","0","23","nLinea"
"gaDocTmpEtiquetas","0","7","nLinea"
"gaEtiquetasCampos","0","18","nLinea"
"gaDocVinculadosTipos","0","8","Codigo"
"gaDocVinculadosSecciones","0","2","Nombre"
"Horarios","0","3","Codigo"
"gaRptImpresora","0","6","Report|Usuario|Destino"
"gaRptEmitirInformes","0","3","Carpeta|Report"
"IdDescripciones","0","6","TipoEl|CodigoEl|CodigoEl2|Idioma"
"Horas","0","15","id"
"HorariosLin","0","7","Horario|DiaSemana|ManyanaTardeMT"
"gaRegistroEnvioMail","0","11","nLinea"
"gaNotPush","0","11","IdNotificacion"
"gaNotEventoRpt","0","5","idEvento|Tabla"
"gaNotEvento","0","18","nLinea"
"gaRegistroAccionBBDDweb","0","10","IdRegistro"
"gaNotUsuarios","0","4","Nombre"
"gaNotRegistroEventos","0","11","nLinea"
"gaDocPermisosTipoDoc","0","7","nLinea"
"EstructurasSecciones","0","4","Estructura|Codigo"
"EstructurasPartidasArancelarias","0","3","Estructura|Pais"
"EstructurasOpcValorEscalarOpcion","0","6","nLinea"
"EstructurasVariables","0","8","Estructura|SimboloVariable"
"EstructurasTTFabricacion","0","3","Estructura|Fase|Subfase"
"EstructurasTarEstr","0","29","Estructura|CodSerie"
"EstructurasOpcCategorias","0","3","Estructura|NumeroCategoria"
"EstructurasLinMedidasIntervalos","0","12","nLinea"
"EstructurasLinIntervalosMult","0","8","nLinea"
"EstructurasLinCantidadIntervalos","0","10","nLinea"
"EstructurasMecTiposOperacion","0","2","TipoOperacion"
"EstructurasMecOperaciones","0","11","IdMecOperacion"
"EstructurasLinSustAca","0","5","IdLinea|AcabadoOrig|TonalidadOrig"
"FormasPagoEscalada","0","5","nLinea"
"ForfaitVDocConfig","0","10","nLinea"
"ForfaitCDocConfig","0","10","nLinea"
"gaDocPermisosCarpeta","0","7","nLinea"
"gaDocGruposUsrMiembros","0","2","GrupoUsr|Usuario"
"gaDocGruposUsr","0","4","Codigo"
"Festivos","0","5","nLinea"
"FabricacionArtLin","0","26","nLinea"
"FabricacionArt","0","48","Numero"
"EstructurasVariablesIntervalos","0","11","nLinea"
"FasesEntrega","0","3","codigo"
"FamiliasProv","0","2","Familia|Proveedor"
"FamiliasAcabados","0","3","Codigo"
"ediSeresTiposRemesa","0","2","TipoRemesa"
"ComisCategorias","0","13","Codigo"
"ComisCategCond","0","8","nLinea"
"COfertasLin","0","20","nLinea"
"CompFcantidadLamas","0","7","Estructura|ArticuloLama"
"CompFAsocAca","0","10","nLinea"
"CompFAcabadosValidos","0","4","nLinea"
"COfertasDtoCMNaca","0","5","nOferta|CadenaDeClasificacion|Acabado"
"CManufacturas","0","23","id"
"ClientesVAlbMovInt","0","4","Cliente"
"ClientesToldoSelDef","0","10","Cliente|Estructura"
"COfertasDescuentoFamArt","0","5","nOferta|Familia|Subfamilia"
"COfertas","0","14","Numero"
"CobCuentas","0","28","codigo"
"CompFmanoDeObra","0","25","nLinea"
"CompFLamaVinculada","0","3","Estructura|ArticuloLama"
"CompFDimMaxPanyo","0","7","Estructura|ArticuloLama"
"CompFPerfilBasculacion","0","4","Estructura|ArticuloLama"
"CompFopcsAcc","0","3","nOpc"
"CompFMotorAnchoMin","0","3","Estructura|ArticuloMotor"
"CompFDibujoCond","0","10","nLinea"
"CompFdescuentoAdCondicional","0","15","nLinea"
"CompFCompactosDef","0","24","Estructura|idCompDef"
"CompFcantidadLamasTabla","0","6","nLinea"
"CompFDespieceCond","0","40","nLinea"
"CompFdescuentoAdLama","0","3","Estructura|ArticuloLama"
"CompFdescuentoAdGuia","0","3","Estructura|ArticuloGuia"
"ClientesTipos","0","3","Codigo"
"ClientesPotDtoArt","0","24","nLinea"
"ClientesPotDirecciones","0","16","Cliente|NumeroDireccion"
"ClientesPotDiasPago","0","4","nLinea"
"ClientesPotDtoEstrCMN","0","15","nLinea"
"ClientesPotDtoCMNaca","0","24","nLinea"
"ClientesPotDtoCMN","0","23","nLinea"
"ClientesPotCuentasBancarias","0","10","Cliente|Codigo"
"ClientesPotAgendaMaterial","0","8","IdAgendaMaterial"
"ClientesPotAgendaDoc","0","3","IdAgendaDoc"
"ClientesPotAgenda","0","35","IdAgenda"
"ClientesPotContactos","0","7","Codigo|NumeroContacto"
"ClientesPotCLAS","0","4","Cliente|Articulo|Acabado"
"ClientesPotCLAFamilia","0","4","Cliente|Familia|Subfamilia"
"ClientesRiesgoDesbloqueoPuntual","0","10","nLinea"
"ClientesProdWebUsuarios","0","5","Cliente|LoginEMail"
"ClientesPrePot","0","14","IdPrepotencial"
"ClientesTipoIVA","0","3","Cliente|Serie"
"ClientesSeriesValidas","0","6","Cliente|TipoDoc"
"ClientesRiesgoSerie","0","13","Cliente|Delegacion|Serie"
"ClientesPotTipoIVA","0","3","Cliente|Serie"
"ClientesPotDtoFamAcaArt","0","23","nLinea"
"ClientesPotDtoFam","0","16","nLinea"
"ClientesPotDtoEstrCMNaca","0","16","nLinea"
"ClientesPotObservacionesVDoc","0","6","nLinea"
"ClientesPotFormaPago","0","6","nLinea"
"ClientesPotDtoFamArt","0","24","nLinea"
"CompFPerfilBasculacionPosicion","0","6","nLinea"
"CTotalDeleg","0","6","nLin"
"CRemesas","0","14","Numero"
"CPedidoStockConfigStockMinDias","0","8","Almacen|Familia|Acabado|AcaTonalidad"
"CurvasGrupoSerLin","0","3","GrupoSer|Serie|TipoPerf"
"CurvasGrupoSer","0","3","Codigo"
"CTotalFam","0","7","nLin"
"CPedidoStockConfigProvHab","0","6","Almacen|Familia|Acabado|AcaTonalidad"
"CPedidosStockCalculoNecesidadesLin","0","30","nLinea"
"CPedidosStockCalculoNecesidades","0","8","IdCalculo"
"CPedidosLinImpuestos","0","10","nCLinea|CodigoImpuesto"
"CPedidoStockConfigOrigenBrut","0","3","Almacen|Proveedor|AlmacenOrigenBrut"
"CPedidosStockPropuestaLin","0","25","nLinea"
"CPedidosStockPropuesta","0","3","IdPropuesta"
"ediSeresClienteDatos","0","7","Cliente"
"DocumentosMTipos","0","1","Descripcion"
"DocumentosM","0","4","Codigo"
"ediSeresDocumentos","0","7","nLinea"
"ediSeresDelegacionDatos","0","4","Delegacion"
"ediSeresCodigoArticulo","0","8","TipoArtEstr|Articulo|Acabado"
"DivisasHistorialCambio","0","5","nLinea"
"DelegacionesTipoDocumentoValido","0","4","Delegacion|TipoDoc|TipoDocumentoValido"
"DAincomp","0","2","Vidrio1|Vidrio2"
"CurvasPrecio","0","11","TipoCurva|GrupoSer"
"DisDiseñoBarrotillos","0","43","id"
"DescuentosVentaVariaciones","0","6","nLinea"
"Demo","0","7","frmName|ctrlName|ctrlIndex"
"CPedidosIVAResumen","0","9","Numero|TipoIVA"
"ConjuntosDescuentosGlob","0","7","Conjunto|Familia|Componente"
"ConfigSeriesOPCconfig","0","12","Conjunto|nOpcion"
"ConfigSeriesHerrajeTMP","0","12","NombreAcc|idSesion"
"ConsSesiones","0","1","idSesion"
"ConjuntosMO","0","3","nLin"
"ConjuntosGuiaSeriesAsoc","0","2","ConjuntoGuia|Serie"
"ConfigSeriesDescuentos","0","10","Serie|GrupoPrincipal|Grupo|TipoHoja"
"CompFSubfamiliasMotor","0","3","Estructura|Familia|Subfamilia"
"CompFSalidaAccionamiento","0","9","nLinea"
"CompFPiezasVal","0","20","nLinea"
"CondicionesResidencia","0","2","Codigo"
"CompFTiposMotor","0","2","Codigo"
"CompFTapasCajon","0","4","Estructura|TipoTapa|Posicion"
"CPagos","0","25","contador"
"ContaRegistroLin","0","14","nLin"
"ContaRegistro","0","6","Id"
"CPagosPendAgrupados","0","56","Contador"
"CPagosPend","0","56","contador"
"CPagosAnticipos","0","20",""
"ContaEquivalenciaSerie","0","2","SerieOrig"
"ContaCCAG","0","8","Familia|Subfamilia|Articulo|Acabado|Acreedor|Serie"
"ContaCCAC","0","9","Familia|Subfamilia|Articulo|Acabado|Proveedor|Delegacion|Serie"
"ContaCanales","0","5","nLinea"
"ContaEmpresaDestino","0","9","Delegacion|Serie"
"contaCCAVEstr","0","10","FamiliaEstr|Estructura|Acabado|SeriePerfiles|Delegacion|Serie"
"ContaCCAV","0","10","Familia|Subfamilia|Articulo|Acabado|Delegacion|Serie"
