"Tabla","Filas","Columnas","ClavePrimaria"
"SerActuacionesLin","21142","7","nLin"
"SerSeries","4104","7","id"
"SerActuaciones","2817","17","id"
"SerSeriesCE","982","5","Id"
"SerBibliotecas","244","30","codigo"
"SerTextosClientes","23","9","nLin"
"SerActuacionesEliminarDatos","4","6","id"
"SerTiposBibliotecas","4","1","TipoBiblioteca"
"Constantes","1","1",""
