Formula,Usos,Longitud
"1735,702",4,8
"760,5394",4,8
"760,5396",4,8
"776,0029",4,8
"3769,908",4,8
"A/2",4,3
"REF/2",4,5
"L/2",4,3
"(REF)/10",4,8
"L-1600-1600",4,11
"1788,503",4,8
"419",4,3
"19",4,2
"940",4,3
"L-1000-1400",4,11
"REF-800",4,7
"921",3,3
"912",3,3
"3084,954",3,8
"846,5227",3,8
"846,5226",3,8
"670",3,3
"590",3,3
"822,9475",3,8
"822,9476",3,8
"655",3,3
"575",3,3
"A-TR",3,4
"2419,601",3,8
"370",3,3
"315",3,3
"2232,521",3,8
"350",3,3
"320",3,3
"265",3,3
"A-HO",3,4
"4071,017",3,8
"3991,017",3,8
"A-537",3,5
"A-TI-TD",3,7
"A-550-550",3,9
"737,1665",3,8
"665",3,3
"681,7822",3,8
"640",3,3
"A-FD-FI",3,7
"REF-650",3,7
"1283",3,4
"1163",3,4
"1044",3,4
"809",3,3
"535",3,3
"931",3,3
"A-850",3,5
"L-330",3,5
"408",3,3
"736",3,3
"A-500",3,5
"L-75",3,4
"429",3,3
"354",3,3
"336",3,3
"4999,113",2,8
"1370",2,4
"2040",2,4
"1355",2,4
"2702,388",2,8
"2645,309",2,8
"946,5766",2,8
"946,5767",2,8
"4713,716",2,8
"L-FS-ZO",2,7
"1134,586",2,8
"1045",2,4
"948,3773",2,8
"1015,294",2,8
"1915,294",2,8
"4198,67",2,7
"5398,67",2,7
"1349,468",2,8
"840",2,3
"3581,413",2,8
"A*1,333333",2,10
"(REF)/11",2,8
"(REF)/12",2,8
"(REF)/13",2,8
"(REF)/14",2,8
"(REF)/15",2,8
"(REF)/8",2,7
"(REF)/9",2,7
"(A)/2-300",2,9
"A-1650",2,6
"REF-1600-1600",2,13
"2209",2,4
"5135",2,4
"3202",2,4
"1505",2,4
"REF-1000-1400",2,13
"5043",2,4
"2455",2,4
"3278",2,4
"1592",2,4
"622",2,3
"2856,636",1,8
"2799,557",1,8
"3256,193",1,8
"5056,192",1,8
"3513,716",1,8
"2140",1,4
"1350",1,4
"140",1,3
"340",1,3
"490",1,3
"560",1,3
