"Informe","NumTablas","Tablas"
"articulos.rpt","0",""
"ArticulosFam.rpt","0",""
"ArticRes.rpt","0",""
"articulo.rpt","0",""
"AEnsDet.rpt","0",""
"AEnsRes.rpt","0",""
"acompru.rpt","0",""
"AEnsambla.rpt","0",""
"agenCli.rpt","0",""
"AgendaCliPot.rpt","0",""
"agenusr.rpt","0",""
"agenda.rpt","0",""
"AgendaCli.rpt","0",""
"CAlbInfDet.rpt","0",""
"CAlbInfPesos.rpt","0",""
"calbaran.rpt","0",""
"calbfam.rpt","0",""
"CCartaPagare.rpt","0",""
"cfacfam.rpt","0",""
"CFacInfDet.rpt","0",""
"CExtractoProv.rpt","0",""
"CE_Etiqueta_EEV.rpt","0",""
"ArticulosFamPorProveedor.rpt","0",""
"ArticulosPreciosCambiados.rpt","0",""
"ArticulosFamAcabado.rpt","0",""
"ArticulosFamConProveedor.rpt","0",""
"ArtStBloq.rpt","0",""
"CajaArqueo.rpt","0",""
"cajmov.rpt","0",""
"ArtStockMin.rpt","0",""
"AStockMinDinHst.rpt","0",""
"ealbtrab.rpt","0",""
"ObGastos.rpt","0",""
"ObResumenGastos.rpt","0",""
"horastra.rpt","0",""
"horasTraRes.rpt","0",""
"PackingListEtiqVAlb.rpt","0",""
"PackingListResVPed.rpt","0",""
"PackingListVAlb.rpt","0",""
"PackingListEtiqVPed.rpt","0",""
"PackingListResVAlb.rpt","0",""
"FabricacionArtInfDet.rpt","0",""
"FabricacionArtInfRes.rpt","0",""
"FabricacionArt.rpt","0",""
"FabricacionArtDet.rpt","0",""
"gaNCliMailConfVPed.rpt","0",""
"horasobr.rpt","0",""
"horasObrRes.rpt","0",""
"gaNCliMailFabVPed.rpt","0",""
"gaRegAcBD.rpt","0",""
"stock.rpt","0",""
"stockdescr.rpt","0",""
"StContEtiq.rpt","0",""
"StContEtiqDib.rpt","0",""
"stockDisponible.rpt","0",""
"stockExportar.rpt","0",""
"stockRep.rpt","0",""
"stockes.rpt","0",""
"stockESdetalleFIFO.rpt","0",""
"remesacsb.rpt","0",""
"remesaCSBpag.rpt","0",""
"PackingListVPed.rpt","0",""
"regRestos.rpt","0",""
"Representante.rpt","0",""
"stAcaAlmaDescr.rpt","0",""
"stacadescr.rpt","0",""
"staca.rpt","0",""
"stAcaAlma.rpt","0",""
"evtasdet.rpt","0",""
"evtasdetFac.rpt","0",""
"evtasclires.rpt","0",""
"evtascliresFac.rpt","0",""
"evtasest.rpt","0",""
"evtasests.rpt","0",""
"evtasfac.rpt","0",""
"evtasestA.rpt","0",""
"evtasestc.rpt","0",""
"EInfPagos.rpt","0",""
"epresup.rpt","0",""
"EInfCashFlow.rpt","0",""
"EInfCobros.rpt","0",""
"estruc.rpt","0",""
"evtascli.rpt","0",""
"evtascliFac.rpt","0",""
"EstrucInfDet.rpt","0",""
"estrucl.rpt","0",""
"evtasRes_Articulos.rpt","0",""
"eVtasRes_ClientePorcentajeVenta.rpt","0",""
"evtasResFac_SubfamiliaArticulos.rpt","0",""
"evtasResFac_Zona.rpt","0",""
"evtasRes_FamiliaArticulos.rpt","0",""
"evtasRes_SubfamiliaArticulos.rpt","0",""
"evtasRes_Zona.rpt","0",""
"evtasRes_Provincia.rpt","0",""
"evtasRes_Representante.rpt","0",""
"evtasHistDET.rpt","0",""
"evtasHistFac.rpt","0",""
"eVtasFacMes.rpt","0",""
"evtasHist.rpt","0",""
"evtasResFac_Articulos.rpt","0",""
"evtasResFac_Provincia.rpt","0",""
"evtasResFac_Representante.rpt","0",""
"eVtasResFac_ClientePorcentajeVenta.rpt","0",""
"evtasResFac_FamiliaArticulos.rpt","0",""
